,lod,A_J.39,C57BL_6J.39,129S1_SvImJ.39,NOD_ShiLtJ.39,NZO_HlLtJ.39,CAST_EiJ.39,PWK_PhJ.39,WSB_EiJ.39,pred_mean,pearson_corr,spearman_corr
ENSMUSG00000071984,9.38186638688851,-0.154068768887551,-0.0771971496134265,-0.208923790739342,-0.127845698152179,0.147905959660301,0.11115051718054,0.389670371065256,-0.0806914405136014,0.00253230895,-0.4897196495981452,-0.30952380952380953
ENSMUSG00000039096,33.3046435979374,-0.311533759675475,-0.0108062121887489,-0.296667687229029,-0.207142622400109,0.171466646427131,0.358384626829212,-0.169728194598754,0.466027202835768,0.08627714312499998,-0.8439979704824776,-0.8333333333333335
ENSMUSG00000059316,8.40556169287586,-0.0328348523746786,-0.0927924609387123,-0.0472942600301351,0.0307755876141389,-0.0929513144162506,0.211935010790668,-0.0128942516555899,0.0360565410105576,37.026421625000005,0.37870224642604416,0.5714285714285715
ENSMUSG00000025197,168.672897498337,-2.7320838643547,0.842990844952595,0.718587603746508,-2.31160213318195,-2.26750800816598,2.88192195254796,2.27435572405455,0.593337880401011,0.021990989875000002,0.5294295385198096,0.28571428571428575
ENSMUSG00000031864,101.855755847344,0.205353178683566,-0.446119492915546,0.173826903272644,0.192700480068705,0.238611101909589,-0.32324893175363,-0.496423773418256,0.455300534152924,45.539510750000005,-0.8142128207087008,-0.9285714285714287
ENSMUSG00000024989,3.80117848206841,-0.0897881570705437,0.13477278243629,0.0046717004399381,0.0193721486334235,0.0473238480121196,-0.0869218339884812,-0.13988011589129,0.110449627428546,23.342949625000003,-0.08245346991080447,-0.04761904761904763
ENSMUSG00000087128,5.6675120828409,0.0089296826258262,-0.0030571047350624,0.0739543631513495,0.0138140115848309,0.0607144051018187,-0.148453615157224,0.0068072887134178,-0.0127090312849578,0.022181715624999997,0.5699995673080178,0.3333333333333334
ENSMUSG00000021643,13.0985771737337,-0.069838239795299,-0.0408037414063358,-0.133023737888665,-0.0408743376576091,-0.0822134441917459,0.341515895571916,0.163867299022741,-0.138629693655009,83.863493125,-0.20640642195147355,-0.30952380952380953
ENSMUSG00000021938,0.97764553553814,0.0263256686191689,-0.0019379572059605,-0.0021877812250412,-0.0089132550354502,-0.0602390375309092,-0.0400016955485487,0.0041303365086413,0.0828237214180998,0.051694056999999995,0.44680753476148,0.28571428571428575
ENSMUSG00000030793,38.6905962768318,-0.0825802870292049,0.117990743990792,-0.0923931713734296,0.130044347206751,-0.329872083643108,0.287226724664492,0.365322844958202,-0.395739118774498,0.0325801695,0.12345645436410338,0.04761904761904763
ENSMUSG00000025870,43.8650551550953,0.238308439795047,0.202691070968153,0.210816695607329,-0.156266474455848,0.164468961405059,-0.40753515142756,-0.334777168579437,0.0822936266872532,21.435466125,-0.6683035414331545,-0.38095238095238104
ENSMUSG00000105708,6.5864285312955,0.0385613207276503,-0.12109935581633,-0.0078796944326908,-0.0465396273231642,-0.220433010357471,0.292359770406913,-0.0401161843389657,0.105146781134057,0.024973763875,-0.04031440541631193,-0.30952380952380953
ENSMUSG00000010067,5.4257216195209,0.0077360678765945,0.115278987486649,-0.0049373095555971,-0.0987153159416305,-0.0687374939043313,0.0426890442553844,0.0992046638016504,-0.0925186440187229,1.3446650874999997,-0.5761259504790565,-0.5714285714285715
ENSMUSG00000019853,44.0778076066291,-0.206519749596178,0.120909993217308,-0.263795416345471,-0.226861011402432,0.0978582626471098,-0.148453749190849,0.891240419038629,-0.26437874836812,0.0122576005,-0.8825360725947635,-0.2380952380952381
ENSMUSG00000045973,17.5236674131072,-0.0435562344545577,0.415183358877805,0.154264321494088,0.37914555894832,-0.12817639549869,0.0052667160342903,-0.489893004810074,-0.292234320591183,0.041866437124999996,0.44754927844561315,0.523809523809524
ENSMUSG00000096199,20.9288323738893,0.115204478041093,0.0436252608514831,0.0382367792780585,0.135314784652778,0.0684276515701079,-0.0649250711100375,-0.263852061510295,-0.0720318217731908,25.015188000000002,0.44343170190343834,0.07142857142857144
